date,state,city,school,longitude,latitude,link,iglink
March 14,Arizona,Tucson,Tucson Stand Up,-110.9292947,32.2205493,https://www.facebook.com/events/126208401535837/,https://www.instagram.com/explore/locations/213215421/tucson-arizona/
March 14,California,Fremont,Mission San Jose High School,-121.933798,37.5442976,https://www.facebook.com/events/403169340096247/,https://www.instagram.com/explore/locations/228052048/mission-san-jose-high-school/
March 14,California,Sacramento,Women's March Sacramento,,,https://www.facebook.com/events/1632988706794673/,https://www.instagram.com/explore/locations/218412547/capitol-mall/
March 14,California,San Francisco,Lowell High School,-122.4833234,37.7306091,https://www.facebook.com/events/436606403422494/,https://www.instagram.com/explore/locations/107843/lowell-high-school/
March 14,Colorado,Boulder,Naropa University,-105.2673905,40.0141679,https://www.facebook.com/events/596214014055800/,https://www.instagram.com/explore/locations/144623/naropa-university/
March 14,Colorado,Broomfield,Broomfield High School,-105.075374,39.929873,https://www.facebook.com/events/348066852375295/,https://www.instagram.com/explore/locations/250993526/broomfield-high-school/
March 14,Colorado,Colorado Springs,Rampart High School,-104.772133,38.9494097,https://www.facebook.com/events/1788580364778907/,https://www.instagram.com/explore/locations/2318697/rampart-high-school/
March 14,Connecticut,Sandy Hook,Newtown High School,-73.2711026,41.4099636,https://www.facebook.com/events/1581119052003055/,https://www.instagram.com/explore/locations/9753934/newtown-high-school/
March 14,Connecticut,West Hartford,Conard High School,-72.7515446,41.7361993,https://www.facebook.com/events/2022495694685715/,https://www.instagram.com/explore/locations/4807447/conard-high-school/
March 14,Connecticut,West Hartford,Hall High School,-72.7510632,41.7943418,https://www.facebook.com/events/779477645576468/,https://www.instagram.com/explore/locations/6955097/hall-high-school/
March 14,Connecticut,Wilton,Wilton High School,-73.4330463,41.2104705,https://www.facebook.com/events/549490485449399/,https://www.instagram.com/explore/locations/242095080/wilton-high-school/
March 14,Delware,Newark,University of Delaware,-75.7506114,39.6779504,https://www.facebook.com/events/199852403945048/,https://www.instagram.com/explore/locations/213519809/university-of-delaware/
March 14,Florida,Boca Raton,Lynn University,-80.1249514,26.3842258,https://actionnetwork.org/events/enough-lynn-demands-action?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/4037316/lynn-university/
March 14,Florida,Bradenton,Lynn University,-82.5946894,27.490857,https://actionnetwork.org/events/manatee-high-shool-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/256281886/manatee-high-school/
March 14,Florida,Bradenton,State College of Florida Collegiate School,-82.5913789,27.4391105,https://actionnetwork.org/events/state-college-of-florida-scf-collegiate-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/404044560/state-college-of-florida-collegiate-school/
March 14,Florida,Coral Gables,Coral Gables High School,-80.263209,25.7337719,https://actionnetwork.org/events/coral-gables-senior-high-national-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/215882529/coral-gables-senior-high-school/
March 14,Florida,Coral Springs,Coral Springs High School,-80.2202737,26.2733172,https://actionnetwork.org/events/enough-is-enough-15?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/214430824/coral-springs-high-school/
March 14,Florida,Greenacres,John I. Leonard Community High School,-80.1177754,26.631656,https://actionnetwork.org/events/national-school-walkout-at-john-i-leonard?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/890018779/john-i-leonard-community-high-school/
March 14,Florida,Homestead,Center for International Education,-80.4454323,25.4782501,https://actionnetwork.org/events/national-school-walkout-41?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/234941751/miami-dade-college-homestead-campus/
March 14,Florida,Homestead,Miami Dade College - Homestead Campus,-80.4741931,25.474449,https://actionnetwork.org/events/sasmdc-homestead-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/234941751/miami-dade-college-homestead-campus/
March 14,Florida,Jupiter,Jupiter Community High School,-80.1046359,26.9277523,https://actionnetwork.org/events/jupiter-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/567554197/jupiter-community-high-school/
March 14,Florida,Lake Worth,Palm Beach State College,-80.0862734,26.6131999,https://actionnetwork.org/events/national-school-walkout-at-pbsc?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/391870/palm-beach-state-college/
March 14,Florida,Melbourne,Eastern Florida State College - Melbourne Campus,-80.6708733,28.169954,https://actionnetwork.org/events/enough-efsc-melbourne?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/41378058/eastern-florida-state-college-melbourne-campus/
March 14,Florida,Miami,Design and Architecture High School,-80.1907166,25.8140153,https://www.instagram.com/explore/locations/257299402/design-and-architecture-high-school/,https://www.instagram.com/explore/locations/257299402/design-and-architecture-high-school/
March 14,Florida,Miami,I Preparatory Academy,-80.1899083,25.7897554,https://actionnetwork.org/events/iprep-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/785717788/i-preparatory-academy/
March 14,Florida,Miami,MAST Academy,-80.166319,25.7392367,https://actionnetwork.org/events/enough-national-school-walkout-36?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/218844391/mast-academy/
March 14,Florida,Miami,Miami Dade College - Wolfson Campus,-80.1907324,25.7776179,https://actionnetwork.org/events/walkout-mdc-wolfson?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/250025/miami-dade-college-wolfson-campus/
March 14,Florida,Miami,William H. Turner Technical Arts High School,-80.229093,25.8668259,https://actionnetwork.org/events/turner-tech-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/719518303/william-h-turner-technical-arts-high-school/
March 14,Florida,Miami Beach,Miami Beach High School,-80.1330527,25.7991041,https://actionnetwork.org/events/miami-beach-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/256319221/miami-beach-high-school/
March 14,Florida,Miami Shores,Miami Country Day School,-80.183936,25.874262,https://actionnetwork.org/events/miami-country-day-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/325674846/coep-miami-country-day-school/
March 14,Florida,North Miami Beach,Alonzo and Tracy Mourning Senior High Biscayne Bay Campus,-80.147027,25.9169889,https://actionnetwork.org/events/national-school-walkout-36?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/246230459/alonzo-and-tracy-mourning-senior-high-biscayne-bay-campus/
March 14,Florida,Riviera Beach,Suncoast Community HIgh School,-80.0819213,26.778872,https://actionnetwork.org/events/suncoast-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/p/Bexvi7dBMzk/?taken-at=243382780
March 14,Florida,Sarasota,New College of Florida,-82.558703,27.384828,https://actionnetwork.org/events/ncf-enough-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1338220/new-college-of-florida/
March 14,Florida,Sarasota,Riverview High School,-82.5183869,27.282344,https://actionnetwork.org/events/riverview-high-school?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/378607773/riverview-high-school-sarasota-florida/
March 14,Florida,Sarasota,Sarasota High School,-82.526864,27.3245162,https://actionnetwork.org/events/shs-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1018587695/sarasota-high-school-theatre/
March 14,Florida,Sarasota,Suncoast Polytechnical High School,-82.4993164,27.285737,https://actionnetwork.org/events/suncoast-polytechnical-high-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/750728688/suncoast-polytechnical-high-school/
March 14,Florida,Vero Beach,Vero Beach High School,-80.4035812,27.6288778,https://actionnetwork.org/events/vbhs-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/249015426/vero-beach-high-school/
March 14,Florida,Wellington,Wellington High School,-80.2657383,26.6502685,https://actionnetwork.org/events/wellington-walkout?referrer=&source=&email_referrer=&can_id=,FALSE
March 14,Florida,West Palm Beach,Dreyfoos School of the Arts,-80.0616264,26.7088319,https://www.facebook.com/events/996524017162297/,https://www.instagram.com/explore/locations/562265895/dreyfoos-school-of-the-arts/
March 14,Georgia,Atlanta,Druid Hills High School,-84.3157437,33.7938039,https://www.myajc.com/blog/get-schooled/history-will-kinder-student-organizers-walkout-than-their-critics/oWYycfO9HO4iGX1GnD1AnM/,https://www.instagram.com/explore/locations/238786964/druid-hills-high-school/
March 14,Hawaii,Ewa Beach,Ilima Intermediate School,-158.0117715,21.3160549,https://actionnetwork.org/events/ilima-says-enough-sending-aloha-to-stoneman-douglas?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/493807527/ilima-intermediate-school/
March 14,Hawaii,Honolulu,Henry J. Kaiser High School,-157.6945745,21.2850985,https://actionnetwork.org/events/enough-national-school-walkout-kaiser-high-school?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/263605030/henry-j-kaiser-high-school-hawaii/
March 14,Hawaii,Honolulu,Iolani School,-157.8249168,21.2860467,https://actionnetwork.org/events/enough-iolani-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/318386789/iolani-school/
March 14,Hawaii,Honolulu,Moanalua High School,-157.9003599,21.347123,https://actionnetwork.org/events/moanalua-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/464938/moanalua-high-school/
March 14,Hawaii,Honolulu,President George Washington Middle School,-157.8348853,21.295721,https://actionnetwork.org/events/washington-middle-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/825296348/president-george-washington-middle-school/
March 14,Hawaii,Honolulu,Punahou School,-157.8282173,21.3013328,https://actionnetwork.org/events/punahou-school-walkout-2?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/47088/punahou-school/
March 14,Hawaii,Honolulu,Sacred Hearts Academy,-157.806603,21.285976,https://actionnetwork.org/events/sacred-hearts-academy-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/309623/sacred-hearts-academy/
March 14,Hawaii,Honolulu,Saint Francis School,-157.811952,21.303339,https://actionnetwork.org/events/saint-francis-school-manoa-enough-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/884216161/saint-francis-school/
